"univ_name";"city";"total_number"
"Adelphi University";"Garden City";25
"American University";"Washington";125
"Andrews University";"Berrien Springs";12
"Arizona State University--Tempe";"Tempe";263
"Ashland University";"Ashland";49
"Auburn University";"Auburn";174
"Azusa Pacific University";"Azusa";138
"Ball State University";"Muncie";94
"Baylor University";"Waco";121
"Benedictine University";"Lisle";97
"Biola University";"La Mirada";17
"Boston College";"Chestnut Hill";124
"Boston University";"Boston";201
"Bowling Green State University";"Bowling Green";87
"Brandeis University";"Waltham";50
"Brigham Young University--Provo";"Provo";36
"Brown University";"Providence";162
"California Institute of Technology";"Pasadena";73
"California State University--Fullerton";"Fullerton";98
"Carnegie Mellon University";"Pittsburgh";119
"Case Western Reserve University";"Cleveland";77
"Central Michigan University";"Mount Pleasant";81
"Clark University";"Worcester";46
"Clarkson University";"Potsdam";23
"Clemson University";"Clemson";205
"College of William & Mary";"Williamsburg";73
"Colorado School of Mines";"Golden";21
"Colorado State University";"Fort Collins";131
"Columbia University";"New York";128
"Cornell University";"Ithaca";123
"Dallas Baptist University";"Dallas";11
"Dartmouth College";"Hanover";130
"DePaul University";"Chicago";124
"Drexel University";"Philadelphia";62
"Duke University";"Durham";235
"Duquesne University";"Pittsburgh";17
"East Carolina University";"Greenville";98
"Edgewood College";"Madison";6
"Emory University";"Atlanta";189
"Florida Institute of Technology";"Melbourne";13
"Florida State University";"Tallahassee";277
"Fordham University";"New York";111
"Gardner-Webb University";"Boiling Springs";39
"George Mason University";"Fairfax";135
"George Washington University";"Washington";195
"Georgetown University";"Washington";205
"Georgia Institute of Technology";"Atlanta";178
"Harvard University";"Cambridge";294
"Hofstra University";"Hempstead";36
"Howard University";"Washington";137
"Illinois Institute of Technology";"Chicago";47
"Illinois State University";"Normal";151
"Immaculata University";"Immaculata";7
"Indiana University--Bloomington";"Bloomington";247
"Indiana University-Purdue University--Indianapolis";"Indianapolis";204
"Iowa State University";"Ames";116
"Johns Hopkins University";"Baltimore";107
"Kansas State University";"Manhattan";46
"Kent State University";"Kent";79
"Lehigh University";"Bethlehem";19
"Lesley University";"Cambridge";35
"Lipscomb University";"Nashville";16
"Louisiana State University--Baton Rouge";"Baton Rouge";288
"Louisiana Tech University";"Ruston";53
"Loyola University Chicago";"Chicago";49
"Marquette University";"Milwaukee";70
"Maryville University of St. Louis";"St Louis";14
"Massachusetts Institute of Technology";"Cambridge";119
"Mercer University";"Macon";77
"Miami University--Oxford";"Oxford";182
"Michigan State University";"East Lansing";477
"Michigan Technological University";"Houghton";20
"Mississippi State University";"Mississippi State";125
"Missouri University of Science & Technology";"Rolla";44
"Montana State University";"Bozeman";70
"Montclair State University";"Montclair";96
"New Jersey Institute of Technology";"Newark";21
"New School";"New York";5
"New York University";"New York";129
"North Carolina State University--Raleigh";"Raleigh";198
"North Dakota State University";"Fargo";27
"Northeastern University";"Boston";88
"Northern Illinois University";"DeKalb";107
"Northwestern University";"Evanston";152
"Nova Southeastern University";"Ft. Lauderdale";34
"Ohio State University--Columbus";"Columbus";271
"Ohio University";"Athens";147
"Oklahoma State University";"Stillwater";167
"Old Dominion University";"Norfolk";105
"Oregon State University";"Corvallis";138
"Pace University";"New York";10
"Pennsylvania State University--University Park";"University Park";326
"Pepperdine University";"Malibu";44
"Princeton University";"Princeton";162
"Purdue University--West Lafayette";"West Lafayette";161
"Rensselaer Polytechnic Institute";"Troy";52
"Rice University";"Houston";76
"Robert Morris University";"Moon Township";11
"Rochester Institute of Technology";"Rochester";77
"Rutgers University--New Brunswick";"Piscataway";245
"Rutgers University--Newark";"Newark";35
"Saint Louis University";"St. Louis";139
"San Diego State University";"San Diego";253
"Seattle Pacific University";"Seattle";57
"Seton Hall University";"South Orange";52
"Shenandoah University";"Winchester";7
"South Dakota State University";"Brookings";42
"Southern Illinois University--Carbondale";"Carbondale";154
"Southern Methodist University";"Dallas";58
"St. John Fisher College";"Rochester";8
"St. John's University";"Queens";0
"Stanford University";"Stanford";377
"Stevens Institute of Technology";"Hoboken";23
"Stony Brook University--SUNY";"Stony Brook";144
"Suffolk University";"Boston";13
"SUNY College of Environmental Science and Forestry";"Syracuse";4
"Syracuse University";"Syracuse";172
"Temple University";"Philadelphia";152
"Tennessee Technological University";"Cookeville";61
"Texas A&M University--College Station";"College Station";167
"Texas Christian University";"Fort Worth";117
"Texas Tech University";"Lubbock";83
"The Catholic University of America";"Washington";56
"Tufts University";"Medford";144
"Tulane University";"New Orleans";125
"Union University";"Jackson";6
"University at Buffalo--SUNY";"Buffalo";137
"University of Alabama";"Tuscaloosa";215
"University of Alabama--Birmingham";"Birmingham";78
"University of Alabama--Huntsville";"Huntsville";83
"University of Alaska--Fairbanks";"Fairbanks";32
"University of Arizona";"Tucson";168
"University of Arkansas";"Fayetteville";167
"University of California--Berkeley";"Berkeley";402
"University of California--Davis";"Davis";205
"University of California--Irvine";"Irvine";272
"University of California--Los Angeles";"Los Angeles";334
"University of California--Merced";"Merced";18
"University of California--Riverside";"Riverside";167
"University of California--San Diego";"La Jolla";190
"University of California--Santa Barbara";"Santa Barbara";146
"University of California--Santa Cruz";"Santa Cruz";222
